end_date,dem_avg,rep_avg,margin
2024-07-21,44,47.1,-3.1
2024-07-22,43.7,46.6,-2.9
2024-07-23,43.8,46.2,-2.4
2024-07-24,44.1,46,-1.9
2024-07-25,44.2,45.7,-1.5
2024-07-26,44.3,45.7,-1.4
2024-07-27,44.4,45.7,-1.2
2024-07-28,44.6,45.7,-1.1
2024-07-29,44.7,45.6,-0.9
2024-07-30,45,45.6,-0.6
2024-07-31,45.1,45.3,-0.2
2024-08-01,45.3,45.1,0.3
2024-08-02,45.5,45,0.6
2024-08-03,45.6,44.9,0.6
2024-08-04,45.8,45.1,0.8
2024-08-05,46,45.1,0.9
2024-08-06,45.9,45,0.9
2024-08-07,45.9,44.7,1.2
2024-08-08,45.9,44.7,1.2
2024-08-09,45.9,44.7,1.2
2024-08-10,45.9,44.7,1.2
2024-08-11,45.8,44.6,1.2
2024-08-12,45.8,44.6,1.2
2024-08-13,45.9,44.6,1.3
2024-08-14,45.9,44.5,1.4
2024-08-15,46,44.3,1.7
2024-08-16,46.2,44.5,1.8
2024-08-17,46.2,44.5,1.7
2024-08-18,46.2,44.4,1.8
2024-08-19,46.2,44.4,1.8
2024-08-20,46.4,44.4,2
2024-08-21,46.4,44.3,2.1
2024-08-22,46.7,44.3,2.4
2024-08-23,46.7,44.2,2.5
2024-08-24,46.9,44.2,2.7
2024-08-25,47.1,44.3,2.8
2024-08-26,47.1,44.2,2.8
2024-08-27,47.3,44.5,2.8
2024-08-28,47.4,44.3,3.1
2024-08-29,47.3,44.3,3
2024-08-30,47.3,44.3,3.1
2024-08-31,47.4,44.3,3.1
2024-09-01,47.4,44.2,3.2
2024-09-02,47.6,44.6,3
2024-09-03,47.6,44.7,2.9
2024-09-04,47.6,44.7,2.8
2024-09-05,47.7,45,2.7
2024-09-06,47.6,45.1,2.4
2024-09-07,47.6,45.1,2.4
2024-09-08,47.6,45.2,2.4
2024-09-09,47.6,45.2,2.4
2024-09-10,47.5,45.2,2.4
2024-09-11,47.5,45.1,2.5
2024-09-12,47.6,45.3,2.3
2024-09-13,48,45.4,2.7
2024-09-14,48,45.4,2.7
2024-09-15,48.1,45.3,2.8
2024-09-16,48.1,45.4,2.8
2024-09-17,48.3,45.2,3.1
2024-09-18,48.3,45.2,3.1
2024-09-19,48.3,45.4,2.9
2024-09-20,48.5,45.5,3
2024-09-21,48.6,45.5,3.1
2024-09-22,48.5,45.7,2.8
2024-09-23,48.6,45.7,2.9
2024-09-24,48.6,45.7,2.9
2024-09-25,48.7,45.7,3
2024-09-26,48.7,45.7,3
2024-09-27,48.7,45.7,3
2024-09-28,48.7,45.7,3
2024-09-29,48.8,45.9,3
2024-09-30,48.8,45.9,2.9
2024-10-01,48.9,46,2.9
2024-10-02,48.9,45.9,3
2024-10-03,48.8,46,2.8
2024-10-04,48.8,46,2.8
2024-10-05,48.8,46,2.8
2024-10-06,48.7,45.9,2.8
2024-10-07,48.6,45.8,2.8
2024-10-08,48.5,46.1,2.5
2024-10-09,48.5,46.1,2.4
2024-10-10,48.5,45.9,2.6
2024-10-11,48.6,46,2.6
2024-10-12,48.6,46,2.6
2024-10-13,48.6,46.1,2.6
2024-10-14,48.7,46.2,2.4
2024-10-15,48.7,46.2,2.5
2024-10-16,48.7,46.4,2.4
2024-10-17,48.8,46.6,2.2
2024-10-18,48.6,46.5,2.1
2024-10-19,48.6,46.6,1.9
2024-10-20,48.6,46.6,1.9
2024-10-21,48.4,46.5,1.9
2024-10-22,48.4,46.5,1.9
2024-10-23,48.3,46.7,1.7
2024-10-24,48.4,46.6,1.7
2024-10-25,48.5,46.8,1.7
2024-10-26,48.5,46.8,1.7
2024-10-27,48.5,46.8,1.7
2024-10-28,48.5,46.8,1.7
2024-10-29,48.4,46.9,1.5
2024-10-30,48.4,46.9,1.5
2024-10-31,48.4,47,1.4
2024-11-01,48.4,47,1.4
2024-11-02,48.4,47,1.4
2024-11-03,48.4,47,1.4
2024-11-04,48.4,47,1.4