date,dem_avg,rep_avg,margin,Timestamp (UTC),Donald Trump,Kamala Harris
2024-07-21,44.0,47.1,-3.1,1721520001,0.64,0.1825
2024-07-22,43.7,46.6,-2.9,1721606401,0.63,0.2915
2024-07-23,43.8,46.2,-2.4,1721692801,0.625,0.3235
2024-07-24,44.1,46.0,-1.9,1721779201,0.605,0.3705
2024-07-25,44.2,45.7,-1.5,1721865601,0.625,0.3215
2024-07-26,44.3,45.7,-1.4,1721952002,0.615,0.347
2024-07-27,44.4,45.7,-1.2,1722038402,0.585,0.3975
2024-07-28,44.6,45.7,-1.1,1722124802,0.575,0.394
2024-07-29,44.7,45.6,-0.9,1722211202,0.585,0.393
2024-07-30,45.0,45.6,-0.6,1722297601,0.595,0.38
2024-07-31,45.1,45.3,-0.2,1722384002,0.585,0.3855
2024-08-01,45.3,45.1,0.3,1722470402,0.555,0.417
2024-08-02,45.5,45.0,0.6,1722556801,0.535,0.4415
2024-08-03,45.6,44.9,0.6,1722643202,0.525,0.4395
2024-08-04,45.8,45.1,0.8,1722729601,0.545,0.4315
2024-08-05,46.0,45.1,0.9,1722816001,0.515,0.446
2024-08-06,45.9,45.0,0.9,1722902401,0.535,0.437
2024-08-07,45.9,44.7,1.2,1722988801,0.515,0.4585
2024-08-08,45.9,44.7,1.2,1723075201,0.485,0.4915
2024-08-09,45.9,44.7,1.2,1723161602,0.4915,0.4875
2024-08-10,45.9,44.7,1.2,1723248002,0.476,0.4915
2024-08-11,45.8,44.6,1.2,1723334401,0.453,0.515
2024-08-12,45.8,44.6,1.2,1723420801,0.4555,0.5155
2024-08-13,45.9,44.6,1.3,1723507202,0.4585,0.512
2024-08-14,45.9,44.5,1.4,1723593602,0.4555,0.5245
2024-08-15,46.0,44.3,1.7,1723680002,0.447,0.5335
2024-08-16,46.2,44.5,1.8,1723766402,0.443,0.539
2024-08-17,46.2,44.5,1.7,1723852802,0.4545,0.5225
2024-08-18,46.2,44.4,1.8,1723939202,0.4865,0.4975
2024-08-19,46.2,44.4,1.8,1724025602,0.4835,0.4935
2024-08-20,46.4,44.4,2.0,1724112001,0.486,0.496
2024-08-21,46.4,44.3,2.1,1724198402,0.5025,0.481
2024-08-22,46.7,44.3,2.4,1724284802,0.5215,0.468
2024-08-23,46.7,44.2,2.5,1724371202,0.5175,0.4715
2024-08-24,46.9,44.2,2.7,1724457602,0.5015,0.484
2024-08-25,47.1,44.3,2.8,1724544001,0.502,0.4865
2024-08-26,47.1,44.2,2.8,1724630402,0.4955,0.496
2024-08-27,47.3,44.5,2.8,1724716801,0.4945,0.4945
2024-08-28,47.4,44.3,3.1,1724803201,0.5035,0.4835
2024-08-29,47.3,44.3,3.0,1724889602,0.503,0.484
2024-08-30,47.3,44.3,3.1,1724976002,0.498,0.483
2024-08-31,47.4,44.3,3.1,1725062402,0.4995,0.4855
2024-09-01,47.4,44.2,3.2,1725148802,0.5025,0.4825
2024-09-02,47.6,44.6,3.0,1725235202,0.5085,0.4775
2024-09-03,47.6,44.7,2.9,1725321602,0.5175,0.4705
2024-09-04,47.6,44.7,2.8,1725408002,0.5115,0.4765
2024-09-05,47.7,45.0,2.7,1725494402,0.5295,0.46
2024-09-06,47.6,45.1,2.4,1725580802,0.528,0.459
2024-09-07,47.6,45.1,2.4,1725667202,0.5055,0.4775
2024-09-08,47.6,45.2,2.4,1725753602,0.5,0.4755
2024-09-09,47.6,45.2,2.4,1725840001,0.513,0.464
2024-09-10,47.5,45.2,2.4,1725926402,0.5225,0.4605
2024-09-11,47.5,45.1,2.5,1726012801,0.5195,0.464
2024-09-12,47.6,45.3,2.3,1726099202,0.496,0.4945
2024-09-13,48.0,45.4,2.7,1726185602,0.491,0.4985
2024-09-14,48.0,45.4,2.7,1726272002,0.491,0.5005
2024-09-15,48.1,45.3,2.8,1726358402,0.4885,0.5035
2024-09-16,48.1,45.4,2.8,1726444802,0.494,0.496
2024-09-17,48.3,45.2,3.1,1726531202,0.4945,0.4925
2024-09-18,48.3,45.2,3.1,1726617602,0.4805,0.5005
2024-09-19,48.3,45.4,2.9,1726704001,0.4675,0.5175
2024-09-20,48.5,45.5,3.0,1726790402,0.4715,0.5125
2024-09-21,48.6,45.5,3.1,1726876802,0.479,0.51
2024-09-22,48.5,45.7,2.8,1726963202,0.4755,0.512
2024-09-23,48.6,45.7,2.9,1727049602,0.4695,0.52
2024-09-24,48.6,45.7,2.9,1727136002,0.4825,0.505
2024-09-25,48.7,45.7,3.0,1727222402,0.481,0.503
2024-09-26,48.7,45.7,3.0,1727308802,0.4885,0.5015
2024-09-27,48.7,45.7,3.0,1727395202,0.4895,0.502
2024-09-28,48.7,45.7,3.0,1727481602,0.4855,0.5065
2024-09-29,48.8,45.9,3.0,1727568003,0.4825,0.506
2024-09-30,48.8,45.9,2.9,1727654403,0.4905,0.5025
2024-10-01,48.9,46.0,2.9,1727740802,0.4885,0.4965
2024-10-02,48.9,45.9,3.0,1727827202,0.4825,0.4985
2024-10-03,48.8,46.0,2.8,1727913602,0.4925,0.4945
2024-10-04,48.8,46.0,2.8,1728000002,0.4965,0.4955
2024-10-05,48.8,46.0,2.8,1728086402,0.4975,0.4925
2024-10-06,48.7,45.9,2.8,1728172802,0.5015,0.4895
2024-10-07,48.6,45.8,2.8,1728259202,0.5075,0.4835
2024-10-08,48.5,46.1,2.5,1728345602,0.5395,0.4575
2024-10-09,48.5,46.1,2.4,1728432002,0.529,0.4655
2024-10-10,48.5,45.9,2.6,1728518402,0.5335,0.4605
2024-10-11,48.6,46.0,2.6,1728604803,0.5545,0.4395
2024-10-12,48.6,46.0,2.6,1728691202,0.5405,0.455
2024-10-13,48.6,46.1,2.6,1728777603,0.5495,0.447
2024-10-14,48.7,46.2,2.4,1728864002,0.5395,0.4545
2024-10-15,48.7,46.2,2.5,1728950402,0.5505,0.4435
2024-10-16,48.7,46.4,2.4,1729036803,0.5765,0.422
2024-10-17,48.8,46.6,2.2,1729123202,0.5855,0.4105
2024-10-18,48.6,46.5,2.1,1729209602,0.6185,0.3815
2024-10-19,48.6,46.6,1.9,1729296002,0.5995,0.4005
2024-10-20,48.6,46.6,1.9,1729382402,0.6005,0.3985
2024-10-21,48.4,46.5,1.9,1729468802,0.6065,0.3925
2024-10-22,48.4,46.5,1.9,1729555202,0.649,0.3515
2024-10-23,48.3,46.7,1.7,1729641602,0.6475,0.3515
2024-10-24,48.4,46.6,1.7,1729728003,0.6155,0.3845
2024-10-25,48.5,46.8,1.7,1729814403,0.641,0.3605
2024-10-26,48.5,46.8,1.7,1729900803,0.6385,0.3605
2024-10-27,48.5,46.8,1.7,1729987203,0.6455,0.353
2024-10-28,48.5,46.8,1.7,1730073603,0.6495,0.3485
2024-10-29,48.4,46.9,1.5,1730160002,0.6585,0.3415
2024-10-30,48.4,46.9,1.5,1730246403,0.6655,0.3345
2024-10-31,48.4,47.0,1.4,1730332803,0.6475,0.352
2024-11-01,48.4,47.0,1.4,1730419203,0.6325,0.368
2024-11-02,48.4,47.0,1.4,1730505603,0.5825,0.4185
2024-11-03,48.4,47.0,1.4,1730592003,0.5585,0.4415
2024-11-04,48.4,47.0,1.4,1730678403,0.5635,0.435
